ingredient,category,reason
lactase,Unknown,Not found in rulebook
yogurt-powder,Unknown,Not found in rulebook
e270,Unknown,Not found in rulebook
cane-sugar,Unknown,Not found in rulebook
dried-apricots,Unknown,Not found in rulebook
concentrated-white-grape-juice,Unknown,Not found in rulebook
sucrose,Unknown,Not found in rulebook
emmental,Unknown,Not found in rulebook
red-beetroot,Unknown,Not found in rulebook
vegetable-oil,Unknown,Not found in rulebook
pepper,Unknown,Not found in rulebook
fr:swe-de-canne,Unknown,Not found in rulebook
arti,Unknown,Not found in rulebook
calcium-panothenate,Unknown,Not found in rulebook
e375,Unknown,Not found in rulebook
jamaican-rum,Unknown,Not found in rulebook
e950,Unknown,Not found in rulebook
palm-kernel-oil-and-fat,Unknown,Not found in rulebook
collagen,Unknown,Not found in rulebook
cocoa-paste-processed-with-alkali,Unknown,Not found in rulebook
hydrogenated-vegetable-oil,Unknown,Not found in rulebook
natural-mango-flavouring,Unknown,Not found in rulebook
vitamin-b12,Unknown,Not found in rulebook
e339,Unknown,Not found in rulebook
e220,Unknown,Not found in rulebook
juice,Unknown,Not found in rulebook
soybean-oil-with-propylene,Unknown,Not found in rulebook
annatto-oil,Unknown,Not found in rulebook
canola-oil-milk-protein-concentrate,Unknown,Not found in rulebook
rye-flour,Unknown,Not found in rulebook
d-alpha-tocopheryl-acetate,Unknown,Not found in rulebook
chickpea,Unknown,Not found in rulebook
wine,Unknown,Not found in rulebook
marmalade,Unknown,Not found in rulebook
high-maltose-corn-syrup,Unknown,Not found in rulebook
apricot-kernels,Unknown,Not found in rulebook
tapioca-syrup,Unknown,Not found in rulebook
fr:spirulina-cruda-pura-procedefi-tura-ec016gica,Unknown,Not found in rulebook
baking-powder,Unknown,Not found in rulebook
black-pepper,Unknown,Not found in rulebook
milk-flavouring,Unknown,Not found in rulebook
cheddar,Unknown,Not found in rulebook
pea-protein,Unknown,Not found in rulebook
potassium-iodide,Unknown,Not found in rulebook
natural-ginger-flavouring,Unknown,Not found in rulebook
cinnamon,Unknown,Not found in rulebook
diacetyl-tartaric-acid-esters-of-monodiglycerides,Unknown,Not found in rulebook
e500ii,Unknown,Not found in rulebook
fr:amidon-modifie-de-pomme-de-terre-amidon-de-mais,Unknown,Not found in rulebook
brown-sugar,Unknown,Not found in rulebook
e341ii,Unknown,Not found in rulebook
solids,Unknown,Not found in rulebook
romano-cheese,Unknown,Not found in rulebook
durum-wheat-flour,Unknown,Not found in rulebook
mediterranean-salt,Unknown,Not found in rulebook
pasta,Unknown,Not found in rulebook
e338,Unknown,Not found in rulebook
cultured-whey,Unknown,Not found in rulebook
fr:fanne-de-riz,Unknown,Not found in rulebook
fr:olives-non-denoyautees,Unknown,Not found in rulebook
and-cyanocobalamin,Unknown,Not found in rulebook
fr:sucre-de-coco-8-huile-de-coco,Unknown,Not found in rulebook
e917,Unknown,Not found in rulebook
celeriac,Unknown,Not found in rulebook
shrimp-salt,Unknown,Not found in rulebook
creme-powder,Unknown,Not found in rulebook
cocoa-powder,Unknown,Not found in rulebook
l,Unknown,Not found in rulebook
wafer,Unknown,Not found in rulebook
e343,Unknown,Not found in rulebook
soy-protein-hydrolyzate,Unknown,Not found in rulebook
artificial-fla,Unknown,Not found in rulebook
bart-and-judy-s-proprietary-rice-flour-blend,Unknown,Not found in rulebook
poppyseed,Unknown,Not found in rulebook
white-chocolate,Unknown,Not found in rulebook
cocoa-solids,Unknown,Not found in rulebook
autolyzed-yeast-extract,Unknown,Not found in rulebook
fr:chaudin-de-porc,Unknown,Not found in rulebook
de:hühnereiweiss,Unknown,Not found in rulebook
it:antioxygene,Unknown,Not found in rulebook
emulsifier,Unknown,Not found in rulebook
honey-crisp-apples,Unknown,Not found in rulebook
pea-protein-isolate,Unknown,Not found in rulebook
amino-acid-seasoning,Unknown,Not found in rulebook
skimmed-yogurt-powder,Unknown,Not found in rulebook
dl-alpha-tocopheryl-acetate,Unknown,Not found in rulebook
celery-seed,Unknown,Not found in rulebook
e433,Unknown,Not found in rulebook
palm,Unknown,Not found in rulebook
e300,Unknown,Not found in rulebook
yogurt-coating,Unknown,Not found in rulebook
cocoa,Unknown,Not found in rulebook
vegetable-fat,Unknown,Not found in rulebook
palm-fat,Unknown,Not found in rulebook
de:wheyproteinkonzentrat,Unknown,Not found in rulebook
fr:abncots,Unknown,Not found in rulebook
raspberry-puree,Unknown,Not found in rulebook
husked-sesame-seed,Unknown,Not found in rulebook
fat-reduced-cocoa-powder,Unknown,Not found in rulebook
sweetened-by-a-blend-of-canadian-white-water-clover-honey,Unknown,Not found in rulebook
buffalo-sauce-fresh-lemon-juice,Unknown,Not found in rulebook
cholecalciferol,Unknown,Not found in rulebook
palm-oil,Unknown,Not found in rulebook
fruit-juice,Unknown,Not found in rulebook
milk,Unknown,Not found in rulebook
e129,Unknown,Not found in rulebook
it:moult-de-raisin-concentre,Unknown,Not found in rulebook
e330,Unknown,Not found in rulebook
e503,Unknown,Not found in rulebook
ginger,Unknown,Not found in rulebook
hydrogenated-fat,Unknown,Not found in rulebook
e410,Unknown,Not found in rulebook
with-yogurt-flavoured-mousses-filling,Unknown,Not found in rulebook
yeast,Unknown,Not found in rulebook
soya-leci,Unknown,Not found in rulebook
e322,Unknown,Not found in rulebook
sweet-whey,Unknown,Not found in rulebook
cashew-nuts,Unknown,Not found in rulebook
orange-marmalade,Unknown,Not found in rulebook
glucose-fructose-syrup,Unknown,Not found in rulebook
to-preserve-flavor,Unknown,Not found in rulebook
fr:n0ir-sur-l-opercule-du-pot-etre-vendus-separement,Unknown,Not found in rulebook
ginger-ale,Unknown,Not found in rulebook
canola-o,Unknown,Not found in rulebook
food-coloring,Unknown,Not found in rulebook
herb,Unknown,Not found in rulebook
cocoa-liquor,Unknown,Not found in rulebook
mine,Unknown,Not found in rulebook
millet-flour,Unknown,Not found in rulebook
cumin,Unknown,Not found in rulebook
citrict-acid,Unknown,Not found in rulebook
virgin-olive-oil,Unknown,Not found in rulebook
taproot-vegetable,Unknown,Not found in rulebook
sodium-acid-pyrophasphate,Unknown,Not found in rulebook
folate,Unknown,Not found in rulebook
raisin,Unknown,Not found in rulebook
modified-starch,Unknown,Not found in rulebook
fructose,Unknown,Not found in rulebook
royal-jelly,Unknown,Not found in rulebook
and-spices,Unknown,Not found in rulebook
monound-diglyderides-of-fatty-acids,Unknown,Not found in rulebook
mustard,Unknown,Not found in rulebook
fat,Unknown,Not found in rulebook
real-hibiscus-flowers,Unknown,Not found in rulebook
fr:pate-53-570,Unknown,Not found in rulebook
manganese,Unknown,Not found in rulebook
elder,Unknown,Not found in rulebook
pasteurized-cu,Unknown,Not found in rulebook
barley-malt-flour,Unknown,Not found in rulebook
alpha-tocopherols-as-preservatives,Unknown,Not found in rulebook
it:sulfites,Unknown,Not found in rulebook
buckwheat-flour,Unknown,Not found in rulebook
fr:lai-t-ecreme-en-poudre,Unknown,Not found in rulebook
cooking-spinach,Unknown,Not found in rulebook
cinnamon-powder,Unknown,Not found in rulebook
cereal,Unknown,Not found in rulebook
puffed-rice,Unknown,Not found in rulebook
de:wheyprotein,Unknown,Not found in rulebook
e332,Unknown,Not found in rulebook
corn-syrup-solids,Unknown,Not found in rulebook
candy-ingredients,Unknown,Not found in rulebook
fiber,Unknown,Not found in rulebook
monoglycerides,Unknown,Not found in rulebook
e481,Unknown,Not found in rulebook
jam,Unknown,Not found in rulebook
natural-vegetable-fiber,Unknown,Not found in rulebook
wheat-enzymes,Unknown,Not found in rulebook
fr:correcteurs-d-acidite-e170,Unknown,Not found in rulebook
hazelnut,Unknown,Not found in rulebook
goat-milk,Unknown,Not found in rulebook
crab-meat,Unknown,Not found in rulebook
red-bell-pepper,Unknown,Not found in rulebook
oat-flakes,Unknown,Not found in rulebook
palm-oil-and-fat,Unknown,Not found in rulebook
glucose-syrup,Unknown,Not found in rulebook
e464,Unknown,Not found in rulebook
hydrogenated-soy-oil,Unknown,Not found in rulebook
fr:lait-de-brebis-ecreme-pasteurise-ferments-lactiques-selectionnes,Unknown,Not found in rulebook
water,Unknown,Not found in rulebook
orange-blossom,Unknown,Not found in rulebook
e163,Unknown,Not found in rulebook
fr:sin-gluten,Unknown,Not found in rulebook
natural-lemon-flavouring,Unknown,Not found in rulebook
alcohol,Unknown,Not found in rulebook
fr:aromes-sel,Unknown,Not found in rulebook
canola-oil,Unknown,Not found in rulebook
minerals,Unknown,Not found in rulebook
wheat-flour-wheat-starch-baking-powder,Unknown,Not found in rulebook
cultured-sour-cream,Unknown,Not found in rulebook
lemon,Unknown,Not found in rulebook
e160ai,Unknown,Not found in rulebook
e332ii,Unknown,Not found in rulebook
canola-oil-no-additives,Unknown,Not found in rulebook
garlic-salt,Unknown,Not found in rulebook
fr:poids-net,Unknown,Not found in rulebook
cherry,Unknown,Not found in rulebook
mustard-seed,Unknown,Not found in rulebook
nutmeg,Unknown,Not found in rulebook
invert-sugar-syrup,Unknown,Not found in rulebook
balsamic-vinegar-of-modena,Unknown,Not found in rulebook
grape-must,Unknown,Not found in rulebook
natural-flavor-red-orange-of-sicily,Unknown,Not found in rulebook
oatmeal,Unknown,Not found in rulebook
orange-zest,Unknown,Not found in rulebook
black-carrot,Unknown,Not found in rulebook
e281,Unknown,Not found in rulebook
casing,Unknown,Not found in rulebook
natural-casing,Unknown,Not found in rulebook
e341i,Unknown,Not found in rulebook
sodium-molybdate,Unknown,Not found in rulebook
pomegranate,Unknown,Not found in rulebook
corn-starch,Unknown,Not found in rulebook
fr:jarret-de-porc-avec-os,Unknown,Not found in rulebook
cultured-buttermilk,Unknown,Not found in rulebook
ricotta,Unknown,Not found in rulebook
natural,Unknown,Not found in rulebook
e162,Unknown,Not found in rulebook
proteins-mix,Unknown,Not found in rulebook
dried-italian-herbs,Unknown,Not found in rulebook
whole-milk-powder,Unknown,Not found in rulebook
shea-butter,Unknown,Not found in rulebook
rice-syrup,Unknown,Not found in rulebook
sea-sa,Unknown,Not found in rulebook
vitamin-e,Unknown,Not found in rulebook
coconut,Unknown,Not found in rulebook
carrot,Unknown,Not found in rulebook
live-kombucha,Unknown,Not found in rulebook
bourbon-vanilla-powder,Unknown,Not found in rulebook
e471,Unknown,Not found in rulebook
lime-juice,Unknown,Not found in rulebook
vegetable,Unknown,Not found in rulebook
e450,Unknown,Not found in rulebook
ethoxylated-mon-diglycerides,Unknown,Not found in rulebook
pink-lady-apple-cider,Unknown,Not found in rulebook
fr:sin-lactosa,Unknown,Not found in rulebook
worcestershire-sauce,Unknown,Not found in rulebook
fr:extrait-e-poireau,Unknown,Not found in rulebook
evaporated-cane-syrup,Unknown,Not found in rulebook
tomato-puree,Unknown,Not found in rulebook
e262ii,Unknown,Not found in rulebook
freshly-made-from,Unknown,Not found in rulebook
concentrated-black-carrot-juice,Unknown,Not found in rulebook
apple,Unknown,Not found in rulebook
white-wine,Unknown,Not found in rulebook
sodium-selenite,Unknown,Not found in rulebook
fractionated-palm-kernel-oil,Unknown,Not found in rulebook
glucond,Unknown,Not found in rulebook
fr:matieres-premieres-surgelees,Unknown,Not found in rulebook
cocoa-mass-dextrose,Unknown,Not found in rulebook
apple-puree,Unknown,Not found in rulebook
chili-pepper,Unknown,Not found in rulebook
andropogon-citratus,Unknown,Not found in rulebook
baker-s-yeast,Unknown,Not found in rulebook
partially-hydrogenated-vegetable-fat,Unknown,Not found in rulebook
camomile-flower,Unknown,Not found in rulebook
natural-extract,Unknown,Not found in rulebook
malt-barley-flour,Unknown,Not found in rulebook
black-chickpea-gram-flour,Unknown,Not found in rulebook
opal-apple-cider,Unknown,Not found in rulebook
modified-corn-starch,Unknown,Not found in rulebook
corn-fiber,Unknown,Not found in rulebook
skimmed-milk,Unknown,Not found in rulebook
e222,Unknown,Not found in rulebook
acidity-regulator,Unknown,Not found in rulebook
iodised-salt,Unknown,Not found in rulebook
e150a,Unknown,Not found in rulebook
e263,Unknown,Not found in rulebook
hydrogenated-palm-kernel-oil,Unknown,Not found in rulebook
glazing-agent,Unknown,Not found in rulebook
seasoned-flour,Unknown,Not found in rulebook
e120,Unknown,Not found in rulebook
fr:metal-lo-plastique,Unknown,Not found in rulebook
pineapple-juice-from-concentrate,Unknown,Not found in rulebook
artificial-vanilla-flavoring,Unknown,Not found in rulebook
catsup,Unknown,Not found in rulebook
e901,Unknown,Not found in rulebook
egg-yolk,Unknown,Not found in rulebook
e501,Unknown,Not found in rulebook
e110,Unknown,Not found in rulebook
partially-hydrogenated-soybean-oil,Unknown,Not found in rulebook
manganese-sulfate,Unknown,Not found in rulebook
brassica,Unknown,Not found in rulebook
enzymes-pepper,Unknown,Not found in rulebook
fr:huiles-vegetales-de-tournesol-colza,Unknown,Not found in rulebook
anistar,Unknown,Not found in rulebook
de:nur-schoko-kakaopulver-entölt,Unknown,Not found in rulebook
dehydrated-glucose-syrup,Unknown,Not found in rulebook
plant-protein,Unknown,Not found in rulebook
fr:poudre-de-lactoserum-correcteurs-d-acidite,Unknown,Not found in rulebook
wholemeal-flour,Unknown,Not found in rulebook
sesame-seeds,Unknown,Not found in rulebook
with-other-natural-flavouring,Unknown,Not found in rulebook
maltodextrin,Unknown,Not found in rulebook
microbial-coagulating-enzyme,Unknown,Not found in rulebook
artificial-colors-including-fd-c-yellow-6,Unknown,Not found in rulebook
thiamin-mononitrate,Unknown,Not found in rulebook
green-leaf,Unknown,Not found in rulebook
elderberry,Unknown,Not found in rulebook
nothing-else,Unknown,Not found in rulebook
nut,Unknown,Not found in rulebook
parsley,Unknown,Not found in rulebook
lupin-bean,Unknown,Not found in rulebook
mixture-additive,Unknown,Not found in rulebook
chocolate,Unknown,Not found in rulebook
sweet-potato,Unknown,Not found in rulebook
re,Unknown,Not found in rulebook
sunflower-protein,Unknown,Not found in rulebook
e250,Unknown,Not found in rulebook
stalk-vegetable,Unknown,Not found in rulebook
concentrated-grape-juice,Unknown,Not found in rulebook
fr:poivre-scicre,Unknown,Not found in rulebook
pasteurised-milk,Unknown,Not found in rulebook
mono-and-dyglycerides,Unknown,Not found in rulebook
fr:fanne-de-chatagne,Unknown,Not found in rulebook
natural-blueberry-flavouring,Unknown,Not found in rulebook
whole-milk,Unknown,Not found in rulebook
pyridoxine-hydrochgloride,Unknown,Not found in rulebook
vitamin-c,Unknown,Not found in rulebook
e150d,Unknown,Not found in rulebook
phytonadione,Unknown,Not found in rulebook
strawberry,Unknown,Not found in rulebook
peanuts-flavored-dried-cranberries,Unknown,Not found in rulebook
corn-oil,Unknown,Not found in rulebook
yogurt,Unknown,Not found in rulebook
e501i,Unknown,Not found in rulebook
e262,Unknown,Not found in rulebook
palm-cocoa-butter,Unknown,Not found in rulebook
aceto-balsamico-di-modena-igp,Unknown,Not found in rulebook
monosaccharide,Unknown,Not found in rulebook
sal-t,Unknown,Not found in rulebook
e422,Unknown,Not found in rulebook
butter,Unknown,Not found in rulebook
stone-ground-yellow-corn,Unknown,Not found in rulebook
beta-carotene-as-color,Unknown,Not found in rulebook
tomato,Unknown,Not found in rulebook
sea-salt,Unknown,Not found in rulebook
hydrogenated-oil,Unknown,Not found in rulebook
coconut-water,Unknown,Not found in rulebook
soya,Unknown,Not found in rulebook
inulin,Unknown,Not found in rulebook
passion,Unknown,Not found in rulebook
nonnutritive-sweetener,Unknown,Not found in rulebook
partially-hydrogenated-palm-oil,Unknown,Not found in rulebook
wheat-starch,Unknown,Not found in rulebook
roasted-red-pepper-fresh-lemon-juice,Unknown,Not found in rulebook
caseinate,Unknown,Not found in rulebook
soy-lecith,Unknown,Not found in rulebook
pomegranate-juice,Unknown,Not found in rulebook
e202,Unknown,Not found in rulebook
brussels-sprouts,Unknown,Not found in rulebook
rice,Unknown,Not found in rulebook
camomile,Unknown,Not found in rulebook
basil-parmesan-cheese,Unknown,Not found in rulebook
bourbon-vanilla,Unknown,Not found in rulebook
basil,Unknown,Not found in rulebook
and-less-of,Unknown,Not found in rulebook
grated-emmental-cheese,Unknown,Not found in rulebook
e340ii,Unknown,Not found in rulebook
fr:epices-a-pains-di-epices-ln-epices-cannelle-gingembre,Unknown,Not found in rulebook
hazelnut-flavor,Unknown,Not found in rulebook
natural-orange-oil,Unknown,Not found in rulebook
skimmed-milk-powder,Unknown,Not found in rulebook
vegetable-mono-and-diglycerides,Unknown,Not found in rulebook
goji,Unknown,Not found in rulebook
