ingredient,category,reason
soya-lecithin,Unknown,Not found in rulebook
fr:brebis-vanille-et-allergiques-entre-ooc-et-6-c,Unknown,Not found in rulebook
low-de-corn-syrup,Unknown,Not found in rulebook
caranberries,Unknown,Not found in rulebook
wine-vinegar,Unknown,Not found in rulebook
soya-and-rapeseed-lecithin-and-pgpr,Unknown,Not found in rulebook
3,Unknown,Not found in rulebook
pretzel-salt,Unknown,Not found in rulebook
yeas,Unknown,Not found in rulebook
e302,Unknown,Not found in rulebook
celery,Unknown,Not found in rulebook
fat-free-milk-water,Unknown,Not found in rulebook
mix-chocolate,Unknown,Not found in rulebook
williams-pear-brandy,Unknown,Not found in rulebook
butternut-squash,Unknown,Not found in rulebook
fr:abats-de-porc,Unknown,Not found in rulebook
sugar-syrup,Unknown,Not found in rulebook
reduced-iron,Unknown,Not found in rulebook
nonnutritive-sweeteners,Unknown,Not found in rulebook
condiment,Unknown,Not found in rulebook
calcium-carbonat,Unknown,Not found in rulebook
albumen,Unknown,Not found in rulebook
peppermint,Unknown,Not found in rulebook
milk-solids,Unknown,Not found in rulebook
gum-base,Unknown,Not found in rulebook
caraway-seed,Unknown,Not found in rulebook
fr:levure-de-riz,Unknown,Not found in rulebook
aniseed,Unknown,Not found in rulebook
coffee,Unknown,Not found in rulebook
cheese-powder,Unknown,Not found in rulebook
pecan-nut,Unknown,Not found in rulebook
40-grain,Unknown,Not found in rulebook
smoke-flavouring,Unknown,Not found in rulebook
e160a,Unknown,Not found in rulebook
coagulating-enzyme,Unknown,Not found in rulebook
spices-raising-agents,Unknown,Not found in rulebook
rum-60-vol,Unknown,Not found in rulebook
conditioner,Unknown,Not found in rulebook
e171,Unknown,Not found in rulebook
fr:ents,Unknown,Not found in rulebook
spinach-powder,Unknown,Not found in rulebook
fr:sirop-de-glucose-epaississant,Unknown,Not found in rulebook
dairy,Unknown,Not found in rulebook
soluble-corn-fiber,Unknown,Not found in rulebook
banana,Unknown,Not found in rulebook
e473,Unknown,Not found in rulebook
xanthan-gum-stabilizer,Unknown,Not found in rulebook
red-orange-juice-of-sicily,Unknown,Not found in rulebook
e315,Unknown,Not found in rulebook
oligosaccharides,Unknown,Not found in rulebook
cocoa-coating,Unknown,Not found in rulebook
wheat,Unknown,Not found in rulebook
legume,Unknown,Not found in rulebook
milk-chocolate,Unknown,Not found in rulebook
added-sugar,Unknown,Not found in rulebook
fr:poules-elevees-au-sol,Unknown,Not found in rulebook
sunflower-oil,Unknown,Not found in rulebook
soy-protein,Unknown,Not found in rulebook
sunflower-lecithin,Unknown,Not found in rulebook
zinc,Unknown,Not found in rulebook
vitamins,Unknown,Not found in rulebook
sweetened-with-nutritive-and-non-nutritive-sweetener,Unknown,Not found in rulebook
e415,Unknown,Not found in rulebook
pyridoxine-hydrochloride,Unknown,Not found in rulebook
sweetened-with-nutritive-sweeteners-and-a-nonnutritive-sweetener,Unknown,Not found in rulebook
granular,Unknown,Not found in rulebook
paprika,Unknown,Not found in rulebook
soya-flour,Unknown,Not found in rulebook
vitamin-k,Unknown,Not found in rulebook
malt,Unknown,Not found in rulebook
azodicarbonmide,Unknown,Not found in rulebook
vinegar,Unknown,Not found in rulebook
corn,Unknown,Not found in rulebook
concentrate,Unknown,Not found in rulebook
rennet,Unknown,Not found in rulebook
shellfish,Unknown,Not found in rulebook
apricots-dried-passed,Unknown,Not found in rulebook
calcium-propi,Unknown,Not found in rulebook
e440a,Unknown,Not found in rulebook
natural-colours,Unknown,Not found in rulebook
lime-juice-concentrate,Unknown,Not found in rulebook
beetroot-juice-concentrate,Unknown,Not found in rulebook
disaccharide,Unknown,Not found in rulebook
barley-s-malt-extract,Unknown,Not found in rulebook
cheese,Unknown,Not found in rulebook
cysteine,Unknown,Not found in rulebook
e955,Unknown,Not found in rulebook
lime,Unknown,Not found in rulebook
ginger-powder,Unknown,Not found in rulebook
it:colorant-e150d,Unknown,Not found in rulebook
e170i,Unknown,Not found in rulebook
stabiliser,Unknown,Not found in rulebook
e306,Unknown,Not found in rulebook
clove,Unknown,Not found in rulebook
citrus-fruit,Unknown,Not found in rulebook
very-mild,Unknown,Not found in rulebook
high-oleic-sunflower-oil,Unknown,Not found in rulebook
whole-raspberry,Unknown,Not found in rulebook
chromium-chloride,Unknown,Not found in rulebook
lactose,Unknown,Not found in rulebook
ingredients,Unknown,Not found in rulebook
sugarcane-juice,Unknown,Not found in rulebook
vanillian-an-artificial-flavors,Unknown,Not found in rulebook
vanilla-flavouring,Unknown,Not found in rulebook
colour,Unknown,Not found in rulebook
e472e,Unknown,Not found in rulebook
buttermilk-solids,Unknown,Not found in rulebook
turmeric,Unknown,Not found in rulebook
glycerin-esters-of-fatty-acids,Unknown,Not found in rulebook
bone,Unknown,Not found in rulebook
fr:mozzarella-16-marinee-a-l-huile-d-olive,Unknown,Not found in rulebook
lactic-ferments,Unknown,Not found in rulebook
roselle-flower,Unknown,Not found in rulebook
herbes-de-provence,Unknown,Not found in rulebook
in-chocolate,Unknown,Not found in rulebook
lemon-juice,Unknown,Not found in rulebook
hand-peeled-garlic,Unknown,Not found in rulebook
peanut-flavored-coating,Unknown,Not found in rulebook
artificial-flavouring,Unknown,Not found in rulebook
phosphate,Unknown,Not found in rulebook
leaving,Unknown,Not found in rulebook
orange,Unknown,Not found in rulebook
vital-wheat-gluten,Unknown,Not found in rulebook
semi-sweet-chocolate,Unknown,Not found in rulebook
tomato-sauce,Unknown,Not found in rulebook
e260,Unknown,Not found in rulebook
cereal-flour,Unknown,Not found in rulebook
ferrous-sulfate,Unknown,Not found in rulebook
fr:sel-epices,Unknown,Not found in rulebook
processed-with-alkali,Unknown,Not found in rulebook
vegetable-fiber,Unknown,Not found in rulebook
lobster-blend,Unknown,Not found in rulebook
cherry-juice,Unknown,Not found in rulebook
malt-extract,Unknown,Not found in rulebook
cane-sugar-syrup,Unknown,Not found in rulebook
corn-flour,Unknown,Not found in rulebook
wheat-protein,Unknown,Not found in rulebook
natural-vanilla-flavouring,Unknown,Not found in rulebook
grape-juice,Unknown,Not found in rulebook
vitamin-e-acetate,Unknown,Not found in rulebook
berries,Unknown,Not found in rulebook
corn-silk,Unknown,Not found in rulebook
peanut,Unknown,Not found in rulebook
fuji-apple-cider,Unknown,Not found in rulebook
e133,Unknown,Not found in rulebook
shave-grass,Unknown,Not found in rulebook
almond,Unknown,Not found in rulebook
milk-chocolate-praline,Unknown,Not found in rulebook
pasteurised-goat-milk,Unknown,Not found in rulebook
caperberries,Unknown,Not found in rulebook
soured-milk,Unknown,Not found in rulebook
buttermilk,Unknown,Not found in rulebook
elderberry-juice,Unknown,Not found in rulebook
poppy,Unknown,Not found in rulebook
anti-caking-agent,Unknown,Not found in rulebook
e521,Unknown,Not found in rulebook
wheat-flour,Unknown,Not found in rulebook
barley-s,Unknown,Not found in rulebook
e319,Unknown,Not found in rulebook
beetroot,Unknown,Not found in rulebook
calcium-caseinate,Unknown,Not found in rulebook
sesame,Unknown,Not found in rulebook
pasteurised-cow-s-milk,Unknown,Not found in rulebook
white-fish,Unknown,Not found in rulebook
potato-flakes,Unknown,Not found in rulebook
rum-flavouring,Unknown,Not found in rulebook
crab,Unknown,Not found in rulebook
fr:ail-deshydrate-cumin,Unknown,Not found in rulebook
calcium,Unknown,Not found in rulebook
soya-oil,Unknown,Not found in rulebook
natur,Unknown,Not found in rulebook
diced-baby-ginger-root,Unknown,Not found in rulebook
flour-treatment-agent,Unknown,Not found in rulebook
milk-powder,Unknown,Not found in rulebook
flavoring-vanillin,Unknown,Not found in rulebook
cranberry,Unknown,Not found in rulebook
apple-juice,Unknown,Not found in rulebook
natural-pomegranate-flavor,Unknown,Not found in rulebook
ammoniated-glycyrrhizin,Unknown,Not found in rulebook
microbial-culture,Unknown,Not found in rulebook
juliana-adstringen,Unknown,Not found in rulebook
